State,Year,Quarter,District,Code,Transactions,Amount (INR),ATV (INR),Registered Users,App Opens
Andaman & Nicobar Islands,2018,1,Nicobars,AN01,528,1139848.801,2158.804548,262,0
Andaman & Nicobar Islands,2018,1,North And Middle Andaman,AN02,442,931663.0771,2107.835016,632,0
Andaman & Nicobar Islands,2018,1,South Andaman,AN03,5688,12560249.34,2208.201361,5846,0
Andaman & Nicobar Islands,2018,2,Nicobars,AN01,1120,3072436.908,2743.247239,351,0
Andaman & Nicobar Islands,2018,2,North And Middle Andaman,AN02,825,1317863.083,1597.409798,911,0
Andaman & Nicobar Islands,2018,2,South Andaman,AN03,9395,23948235.52,2549.040502,8143,0
Andaman & Nicobar Islands,2018,3,Nicobars,AN01,1471,6387829.152,4342.507921,467,0
Andaman & Nicobar Islands,2018,3,North And Middle Andaman,AN02,1283,4901529.518,3820.365954,1208,0
Andaman & Nicobar Islands,2018,3,South Andaman,AN03,13511,44268112.46,3276.449742,10474,0
Andaman & Nicobar Islands,2018,4,Nicobars,AN01,1485,7180859.355,4835.595525,536,0
Andaman & Nicobar Islands,2018,4,North And Middle Andaman,AN02,2137,7955635.918,3722.805764,1553,0
Andaman & Nicobar Islands,2018,4,South Andaman,AN03,20136,75411840.8,3745.125189,13133,0
Andaman & Nicobar Islands,2019,1,Nicobars,AN01,1539,7236059.549,4701.79308,622,0
Andaman & Nicobar Islands,2019,1,North And Middle Andaman,AN02,3264,9561708.736,2929.445079,2013,0
Andaman & Nicobar Islands,2019,1,South Andaman,AN03,25683,85501972.39,3329.127142,15961,0
Andaman & Nicobar Islands,2019,2,Nicobars,AN01,1828,9111650.824,4984.491698,693,2953
Andaman & Nicobar Islands,2019,2,North And Middle Andaman,AN02,3371,8612103.138,2554.762129,2417,6118
Andaman & Nicobar Islands,2019,2,South Andaman,AN03,28490,102530955.7,3598.840144,18621,43569
Andaman & Nicobar Islands,2019,3,Nicobars,AN01,2300,11566421.48,5028.878902,751,10853
Andaman & Nicobar Islands,2019,3,North And Middle Andaman,AN02,4049,11481466.28,2835.630102,2662,22064
Andaman & Nicobar Islands,2019,3,South Andaman,AN03,27421,91023888.33,3319.495581,20518,138190
Andaman & Nicobar Islands,2019,4,Nicobars,AN01,2600,12384161.53,4763.139049,803,11113
